region,index,year,value
Copperbelt,wsdi,2001,9.605506
Copperbelt,wsdi,2002,8.811236
Copperbelt,wsdi,2003,1.207935
Copperbelt,wsdi,2004,0
Copperbelt,wsdi,2005,15.69104
Copperbelt,wsdi,2006,0
Copperbelt,wsdi,2007,2.367456
Copperbelt,wsdi,2008,9.8431
Copperbelt,wsdi,2009,0
Copperbelt,wsdi,2010,4.055356
Copperbelt,wsdi,2011,0
Copperbelt,wsdi,2012,0
Copperbelt,wsdi,2013,0.3157864
Copperbelt,wsdi,2014,2.365155
Copperbelt,wsdi,2015,1.944192
Copperbelt,wsdi,2016,12.06953
Copperbelt,wsdi,2017,0.1576582
Copperbelt,wsdi,2018,3.314827
Copperbelt,wsdi,2019,8.911716
Copperbelt,wsdi,2020,4.107259
Copperbelt,wsdi,2021,19.31619
Copperbelt,wsdi,2022,0
Copperbelt,wsdi,2023,10.62304
Copperbelt,wsdi,2024,40.08723
Copperbelt,wsdi,2025,2.81542
Eastern,txm,1981,28.43686
Eastern,txm,1982,27.86018
Eastern,txm,1983,29.23961
Eastern,txm,1984,28.07194
Eastern,txm,1985,27.2886
Eastern,txm,1986,27.4988
Eastern,txm,1987,29.1016
Eastern,txm,1988,28.38394
Eastern,txm,1989,27.41034
Eastern,txm,1990,28.75636
Eastern,txm,1991,28.39755
Eastern,txm,1992,29.42929
Eastern,txm,1993,28.24997
Eastern,txm,1994,28.82641
Eastern,txm,1995,29.17862
Eastern,txm,1996,28.56652
Eastern,txm,1997,28.14658
Eastern,txm,1998,28.87953
Eastern,txm,1999,28.2163
Eastern,txm,2000,28.01842
Eastern,txm,2001,28.12797
Eastern,txm,2002,28.09581
Eastern,txm,2003,28.17627
Eastern,txm,2004,27.99297
Eastern,txm,2005,29.47058
Eastern,txm,2006,28.11665
Eastern,txm,2007,28.05998
Eastern,txm,2008,27.92812
Eastern,txm,2009,27.76884
Eastern,txm,2010,28.29805
Eastern,txm,2011,28.38897
Eastern,txm,2012,28.2601
Eastern,txm,2013,28.74514
Eastern,txm,2014,28.92776
Eastern,txm,2015,29.23319
Eastern,txm,2016,29.25435
Eastern,txm,2017,28.30858
Eastern,txm,2018,28.56495
Eastern,txm,2019,28.58673
Eastern,txm,2020,28.4075
Eastern,txm,2021,28.39618
Eastern,txm,2022,27.93507
Eastern,txm,2023,28.84324
Eastern,txm,2024,29.13644
Eastern,txm,2025,28.34596
Eastern,txx,1981,37.47145
Eastern,txx,1982,36.76862
Eastern,txx,1983,37.83382
Eastern,txx,1984,36.64635
Eastern,txx,1985,36.28371
Eastern,txx,1986,35.88421
Eastern,txx,1987,37.49857
Eastern,txx,1988,36.12148
Eastern,txx,1989,36.45181
Eastern,txx,1990,37.83502
Eastern,txx,1991,35.75523
Eastern,txx,1992,37.45739
Eastern,txx,1993,36.35219
Eastern,txx,1994,37.4897
Eastern,txx,1995,37.67577
Eastern,txx,1996,37.13839
Eastern,txx,1997,37.03652
Eastern,txx,1998,37.55265
Eastern,txx,1999,37.35604
Eastern,txx,2000,36.29453
Eastern,txx,2001,36.01067
Eastern,txx,2002,36.73664
Eastern,txx,2003,36.65825
Eastern,txx,2004,37.00721
Eastern,txx,2005,37.39972
Eastern,txx,2006,36.62984
Eastern,txx,2007,36.48084
Eastern,txx,2008,36.29483
Eastern,txx,2009,35.343
Eastern,txx,2010,37.36763
Eastern,txx,2011,38.439
Eastern,txx,2012,37.03568
Eastern,txx,2013,37.89302
Eastern,txx,2014,37.83565
Eastern,txx,2015,38.24036
Eastern,txx,2016,37.59301
Eastern,txx,2017,39.53793
Eastern,txx,2018,37.36054
Eastern,txx,2019,38.93919
Eastern,txx,2020,37.54968
Eastern,txx,2021,37.92392
Eastern,txx,2022,36.59277
Eastern,txx,2023,38.91742
Eastern,txx,2024,37.26972
Eastern,txx,2025,37.38334
Eastern,tx90p,1981,10.0054
Eastern,tx90p,1982,7.770115
Eastern,tx90p,1983,22.5188
Eastern,tx90p,1984,5.900666
Eastern,tx90p,1985,3.038171
Eastern,tx90p,1986,1.902394
Eastern,tx90p,1987,14.46307
Eastern,tx90p,1988,10.29796
Eastern,tx90p,1989,2.134181
Eastern,tx90p,1990,13.07665
Eastern,tx90p,1991,6.843253
Eastern,tx90p,1992,27.92265
Eastern,tx90p,1993,5.972657
Eastern,tx90p,1994,17.97889
Eastern,tx90p,1995,15.31853
Eastern,tx90p,1996,8.72598
Eastern,tx90p,1997,10.98674
Eastern,tx90p,1998,11.66278
Eastern,tx90p,1999,8.520202
Eastern,tx90p,2000,7.219711
Eastern,tx90p,2001,4.126506
Eastern,tx90p,2002,4.919676
Eastern,tx90p,2003,4.770967
Eastern,tx90p,2004,5.324519
Eastern,tx90p,2005,22.52804
Eastern,tx90p,2006,6.417716
Eastern,tx90p,2007,4.762575
Eastern,tx90p,2008,3.415519
Eastern,tx90p,2009,3.138844
Eastern,tx90p,2010,5.211177
Eastern,tx90p,2011,6.916123
Eastern,tx90p,2012,4.627757
Eastern,tx90p,2013,11.98809
Eastern,tx90p,2014,12.65039
Eastern,tx90p,2015,17.87228
Eastern,tx90p,2016,18.65246
Eastern,tx90p,2017,7.069981
Eastern,tx90p,2018,10.3371
Eastern,tx90p,2019,11.94838
Eastern,tx90p,2020,8.86377
Eastern,tx90p,2021,10.5134
Eastern,tx90p,2022,2.435126
Eastern,tx90p,2023,13.50733
Eastern,tx90p,2024,22.43646
Eastern,tx90p,2025,10.26866
Eastern,su35,1981,26.67279
Eastern,su35,1982,10.82826
Eastern,su35,1983,27.61415
Eastern,su35,1984,18.23839
Eastern,su35,1985,6.632215
Eastern,su35,1986,5.807629
Eastern,su35,1987,26.39162
Eastern,su35,1988,12.86045
Eastern,su35,1989,12.59017
Eastern,su35,1990,24.81611
Eastern,su35,1991,13.99084
Eastern,su35,1992,27.57714
Eastern,su35,1993,18.54084
Eastern,su35,1994,23.72873
Eastern,su35,1995,31.91551
Eastern,su35,1996,30.06273
Eastern,su35,1997,15.44641
Eastern,su35,1998,25.63689
Eastern,su35,1999,22.08098
Eastern,su35,2000,11.37808
Eastern,su35,2001,16.85739
Eastern,su35,2002,18.82628
Eastern,su35,2003,20.97009
Eastern,su35,2004,12.06789
